"","Price","Condo","Size","Rooms","Toilets","Suites","Parking","Elevator","Furnished","Swimming.Pool","New","Sale","District","Latitude","Longitude","Cluster_Silhouette"
"12673",200000,346,48,2,1,0,1,"0","0","0","0",TRUE,"Cidade Líder/São Paulo",-23.562195,-46.4794248,4
"6538",239000,300,63,3,2,1,1,"1","0","0","0",TRUE,"Sapopemba/São Paulo",-23.603797,-46.513228,1
"4548",5900,1519,174,3,3,2,3,"0","0","1","0",FALSE,"Lapa/São Paulo",0,0,7
"13165",210000,400,45,2,1,0,1,"0","0","0","0",TRUE,"Vila Curuçá/São Paulo",-23.505197,-46.4261978,4
"12614",240000,380,54,2,1,0,1,"0","0","0","0",TRUE,"Cangaíba/São Paulo",-23.510831,-46.529458,4
"9206",2700,861,58,2,2,1,1,"1","1","1","0",FALSE,"Liberdade/São Paulo",-23.565184,-46.643505,5
"1072",3700,2744,125,3,4,1,2,"0","1","0","0",FALSE,"Itaim Bibi/São Paulo",-23.582595,-46.673393,8
"490",1700,0,65,3,2,1,1,"0","0","1","0",FALSE,"São Mateus/São Paulo",-23.587856,-46.488525,2
"3889",2700,698,55,1,2,1,1,"0","0","1","0",FALSE,"Morumbi/São Paulo",-23.6012803,-46.7174873,2
"3614",12000,4000,245,4,5,4,3,"0","1","1","0",FALSE,"Itaim Bibi/São Paulo",-23.5810888,-46.6713368,7
"7458",1190000,1495,177,3,3,1,2,"0","0","1","0",TRUE,"Santo Amaro/São Paulo",-23.6558,-46.689602,2
"4730",4760,650,36,1,2,1,1,"0","1","1","0",FALSE,"Pinheiros/São Paulo",0,0,5
"5086",1259000,850,80,2,2,1,1,"0","0","1","0",TRUE,"Brooklin/São Paulo",-23.6116403,-46.6926875,2
"7720",219000,270,41,2,2,1,1,"1","0","1","1",TRUE,"Cachoeirinha/São Paulo",-23.475711,-46.659506,2
"6169",415000,450,68,3,2,1,2,"0","0","0","0",TRUE,"Carrão/São Paulo",-23.557658,-46.539919,8
"7947",1590000,1100,120,3,2,1,2,"1","0","1","0",TRUE,"Pinheiros/São Paulo",-23.560619,-46.688366,1
"9099",2100,400,39,1,2,1,1,"0","0","1","0",FALSE,"Bela Vista/São Paulo",-23.554942,-46.638965,2
"1932",2850,860,72,2,3,1,2,"1","1","1","0",FALSE,"Perdizes/São Paulo",-23.531909,-46.674741,5
"12131",476000,550,50,1,1,0,1,"0","0","1","0",TRUE,"República/São Paulo",-23.4855794,-46.7087635,2
"12497",310000,250,55,3,1,0,1,"0","0","0","0",TRUE,"Aricanduva/São Paulo",0,0,4
"8407",240000,358,55,1,1,0,0,"0","1","0","0",TRUE,"Liberdade/São Paulo",-23.5528861,-46.628202,4
"1701",1200,280,65,2,2,1,1,"0","0","0","0",FALSE,"Butantã/São Paulo",-23.570469,-46.750532,6
"2013",1200,232,50,2,2,1,1,"0","1","0","0",FALSE,"Pirituba/São Paulo",-23.494374,-46.749137,6
"5817",245000,0,51,2,2,1,1,"1","1","1","0",TRUE,"Tremembé/São Paulo",-23.420073,-46.58062,5
"1941",2600,1590,105,3,3,1,2,"0","0","0","0",FALSE,"Perdizes/São Paulo",-23.532512,-46.676494,8
"6071",235000,0,38,1,2,1,1,"1","0","1","0",TRUE,"Belém/São Paulo",-23.53574,-46.595085,2
"3188",2500,570,72,2,2,1,2,"1","1","1","0",FALSE,"Tatuapé/São Paulo",-23.5420918,-46.5701049,5
"8653",580000,0,76,3,2,1,2,"0","0","1","0",TRUE,"Casa Verde/São Paulo",-23.5127976,-46.6577909,2
"5610",898000,1500,135,4,4,2,2,"1","0","1","0",TRUE,"Pari/São Paulo",-23.532896,-46.568899,7
"2139",1600,810,67,2,2,1,1,"0","0","1","0",FALSE,"Barra Funda/São Paulo",0,0,2
"2557",1650,800,45,1,1,0,1,"0","0","0","0",FALSE,"Santa Cecília/São Paulo",-23.5340558,-46.6595687,4
"7907",199000,0,37,2,2,1,1,"0","0","0","0",TRUE,"Perus/São Paulo",-23.406884,-46.737037,6
"6747",320000,300,65,2,2,1,1,"0","1","0","0",TRUE,"Vila Formosa/São Paulo",-23.568226,-46.542416,6
"8191",660000,710,53,1,1,0,1,"0","0","0","0",TRUE,"Bela Vista/São Paulo",-23.551787,-46.6453006,4
"9649",1000,442,67,2,2,1,2,"0","0","0","0",FALSE,"Cidade Líder/São Paulo",-23.555285,-46.479096,6
"11189",2750,900,115,3,3,2,1,"0","0","0","0",FALSE,"Brooklin/São Paulo",-23.6147909,-46.682379,8
"9533",2600,1404,140,3,3,1,2,"1","0","1","0",FALSE,"Medeiros/São Paulo",-23.599178,-46.728962,5
"11711",369000,750,86,3,3,1,2,"0","0","1","0",TRUE,"Morumbi/São Paulo",-23.626606,-46.72965,2
"6480",385000,440,70,2,2,1,1,"0","0","1","0",TRUE,"Penha/São Paulo",-23.517711,-46.531392,2
"3570",3800,580,103,4,2,1,2,"0","0","1","0",FALSE,"Ipiranga/São Paulo",-23.610001,-46.6133897,2
"10628",1950,580,53,2,1,0,1,"0","0","0","0",FALSE,"Jabaquara/São Paulo",-23.641876,-46.633053,4
"6775",260000,0,50,2,2,1,1,"1","0","0","0",TRUE,"Vila Jacuí/São Paulo",-23.503837,-46.456296,1
"7176",157900,0,41,2,1,0,1,"1","0","0","1",TRUE,"Jabaquara/São Paulo",-23.659813,-46.665408,1
"2236",1600,450,44,1,1,0,0,"1","0","0","0",FALSE,"Bela Vista/São Paulo",-23.5589693,-46.6484946,1
"8820",1060000,1500,93,2,1,0,1,"0","0","0","0",TRUE,"Jardim Paulista/São Paulo",-23.5639647,-46.6652962,4
"11385",230000,0,48,2,2,1,1,"0","0","0","0",TRUE,"Aricanduva/São Paulo",-23.577179,-46.491147,6
"229",6500,0,92,1,2,1,1,"0","0","0","0",FALSE,"Iguatemi/São Paulo",-23.5857,-46.6826,6
"7983",395000,550,77,2,2,1,1,"1","0","1","0",TRUE,"Raposo Tavares/São Paulo",-23.590946,-46.805218,1
"11944",770000,1026,93,3,3,1,2,"0","0","1","0",TRUE,"Barra Funda/São Paulo",-23.5301471,-46.653243,2
"11678",1850000,1900,200,3,4,1,1,"1","0","0","0",TRUE,"Jardim Paulista/São Paulo",-23.567147,-46.654655,1
"425",1600,360,57,2,2,1,1,"0","1","1","0",FALSE,"Sapopemba/São Paulo",-23.58575,-46.533612,5
"11573",235000,150,40,2,2,1,1,"1","0","0","0",TRUE,"Vila Matilde/São Paulo",-23.535738,-46.532846,1
"9552",3000,1368,133,3,4,3,2,"0","1","0","0",FALSE,"Água Rasa/São Paulo",-23.553208,-46.581889,3
"3471",1500,605,72,3,2,1,1,"0","1","1","0",FALSE,"Campo Grande/São Paulo",-23.6664204,-46.6814546,5
"2948",1050,250,57,2,1,0,1,"1","0","0","0",FALSE,"Artur Alvim/São Paulo",0,0,1
"4496",1050,297,47,2,1,0,1,"0","0","0","0",FALSE,"Jaraguá/São Paulo",-23.4401977,-46.7289269,4
"5241",3501,850,115,2,4,1,2,"1","1","1","0",FALSE,"Mooca/São Paulo",-23.548743,-46.59471,5
"11472",203000,0,40,2,2,1,1,"1","0","1","0",TRUE,"Jardim Helena/São Paulo",-23.536115,-46.427779,2
"9430",2680,680,85,3,2,1,1,"0","0","1","0",FALSE,"Tremembé/São Paulo",-23.460196,-46.624475,2
"7086",188000,0,41,2,2,1,1,"1","0","0","1",TRUE,"Cursino/São Paulo",-23.652923,-46.614163,1
"7982",245000,445,55,3,2,1,1,"1","0","0","0",TRUE,"Raposo Tavares/São Paulo",-23.588091,-46.797839,1
"4319",2900,700,120,4,1,0,1,"0","1","0","0",FALSE,"Butantã/São Paulo",-23.5684887,-46.7117439,4
"2587",2700,970,42,1,2,1,1,"0","0","0","0",FALSE,"Santa Cecília/São Paulo",-23.5416241,-46.6587859,6
"338",900,0,45,2,2,1,1,"0","0","0","0",FALSE,"Lajeado/São Paulo",-23.535407,-46.407475,6
"1519",2000,650,52,1,2,1,1,"1","1","1","0",FALSE,"Vila Mariana/São Paulo",-23.582423,-46.630168,5
"8192",450000,0,98,2,1,0,0,"0","0","0","0",TRUE,"Bom Retiro/São Paulo",0,0,4
"7226",334000,440,60,3,2,1,1,"0","0","0","0",TRUE,"Jardim Ângela/São Paulo",-23.606413,-46.517465,8
"3359",1600,850,80,2,1,0,1,"1","0","0","0",FALSE,"Cambuci/São Paulo",-23.567646,-46.6233418,1
"10357",1200,0,110,2,1,0,0,"0","0","0","0",FALSE,"Casa Verde/São Paulo",-23.5114426,-46.6538658,4
"11850",685719,0,81,3,2,1,2,"1","0","1","0",TRUE,"Lapa/São Paulo",-23.518417,-46.72426,2
"3256",1200,527,60,2,1,0,1,"0","0","0","0",FALSE,"Vila Matilde/São Paulo",0,0,4
"396",1650,350,57,2,2,1,1,"0","0","0","0",FALSE,"Sapopemba/São Paulo",-23.585748,-46.533696,6
"7165",1400000,1000,100,2,4,2,1,"1","0","0","0",TRUE,"Itaim Bibi/São Paulo",-23.581686,-46.673365,1
"4007",5500,1480,138,3,4,3,2,"0","0","1","0",FALSE,"Santo Amaro/São Paulo",0,0,7
"12678",230000,280,48,2,1,0,1,"0","1","0","0",TRUE,"Cidade Líder/São Paulo",-23.5630182,-46.478423,4
"11857",410000,0,60,3,2,1,1,"1","0","1","0",TRUE,"Limão/São Paulo",-23.505244,-46.670872,2
"2883",2000,690,68,2,2,1,2,"0","0","0","0",FALSE,"Medeiros/São Paulo",-23.4908689,-46.5941882,6
"766",3800,1000,69,2,2,1,2,"1","1","1","0",FALSE,"Cambuci/São Paulo",-23.579116,-46.625429,5
"583",1800,0,60,2,2,1,1,"0","0","0","0",FALSE,"Vila Formosa/São Paulo",-23.568663,-46.543085,6
"6424",165000,225,47,2,2,1,1,"0","0","0","0",TRUE,"Lajeado/São Paulo",-23.541181,-46.405825,6
"12324",420000,0,59,2,2,1,1,"0","0","1","0",TRUE,"Tremembé/São Paulo",-23.4641288,-46.6011021,2
"3431",14000,1700,194,3,5,4,4,"0","0","0","0",FALSE,"Campo Belo/São Paulo",-23.6219732,-46.6756984,3
"2494",5200,850,76,3,2,1,1,"0","1","0","0",FALSE,"Liberdade/São Paulo",-23.5647137,-46.6390779,8
"11106",9500,4200,270,4,5,4,4,"0","0","1","0",FALSE,"Vila Madalena/São Paulo",-23.550707,-46.699521,7
"12760",240000,0,47,1,1,0,1,"0","0","1","0",TRUE,"Ermelino Matarazzo/São Paulo",0,0,2
"8123",699980,550,82,3,2,1,1,"0","0","0","0",TRUE,"Barra Funda/São Paulo",-23.5193258,-46.6660993,8
"7284",230000,388,53,2,2,1,1,"0","0","0","0",TRUE,"Jardim São Luis/São Paulo",-23.654954,-46.742633,6
"7151",1200000,1350,96,2,2,1,1,"1","0","0","0",TRUE,"Itaim Bibi/São Paulo",-23.579226,-46.672822,1
"10796",2750,670,55,2,1,0,1,"0","1","1","0",FALSE,"Vila Mariana/São Paulo",-23.5872505,-46.6289967,5
"3299",750,600,60,2,1,0,1,"0","0","0","0",FALSE,"Vila Prudente/São Paulo",-23.5780801,-46.5772045,4
"1987",2400,1003,89,2,2,1,1,"0","0","0","0",FALSE,"Pinheiros/São Paulo",-23.55486,-46.683229,6
"4903",1990000,2400,164,4,5,2,3,"1","1","1","0",TRUE,"Vila Madalena/São Paulo",-23.551613,-46.699106,5
"4594",1000,293,70,2,1,0,0,"0","0","0","0",FALSE,"Limão/São Paulo",-23.5005486,-46.6752873,4
"5463",323000,320,34,1,2,1,1,"1","0","1","0",TRUE,"Bela Vista/São Paulo",-23.552675,-46.639531,2
"11384",251300,250,45,2,2,1,1,"0","0","1","0",TRUE,"Aricanduva/São Paulo",-23.58778,-46.482056,2
"8088",420000,700,76,2,1,0,1,"0","0","0","0",TRUE,"Barra Funda/São Paulo",-23.5308792,-46.6529849,4
"12925",234900,200,47,2,2,1,1,"0","0","0","0",TRUE,"Parque do Carmo/São Paulo",0,0,6
"7557",470000,897,60,2,2,1,1,"1","0","0","0",TRUE,"Vila Mariana/São Paulo",-23.5832,-46.647817,1
"2529",2800,1018,140,2,2,0,1,"0","0","0","0",FALSE,"República/São Paulo",-23.5458472,-46.6429426,4
"12398",350000,300,55,2,1,0,1,"0","0","1","0",TRUE,"Vila Maria/São Paulo",-23.5087219,-46.5837319,2
"3977",4500,800,64,2,2,1,2,"0","1","1","0",FALSE,"Santo Amaro/São Paulo",-23.6273095,-46.6990414,5
"5562",750000,1400,108,2,2,1,1,"1","0","0","0",TRUE,"Consolação/São Paulo",-23.553074,-46.651426,1
"5350",2100,680,65,2,3,2,1,"0","0","0","0",FALSE,"Mooca/São Paulo",-23.5618259,-46.5801923,6
"12033",372960,370,60,2,2,1,1,"1","0","1","0",TRUE,"Brás/São Paulo",-23.5453953,-46.6167926,2
"9375",3200,2000,280,4,5,4,4,"0","0","0","0",FALSE,"Mandaqui/São Paulo",-23.486376,-46.624013,3
"5260",3000,550,45,1,2,1,1,"0","1","0","0",FALSE,"Brooklin/São Paulo",-23.613623,-46.690903,6
"1539",2300,1200,55,2,2,1,1,"1","0","1","0",FALSE,"Vila Mariana/São Paulo",-23.57849,-46.635167,5
"9593",1500,500,57,2,2,1,1,"1","0","1","0",FALSE,"Aricanduva/São Paulo",-23.537049,-46.54532,5
"10442",950,250,54,2,1,0,1,"0","0","1","0",FALSE,"Itaquera/São Paulo",-23.5578072,-46.4230384,2
"149",700,0,48,2,2,1,1,"0","0","0","0",FALSE,"Cidade Tiradentes/São Paulo",-23.60452,-46.399058,6
"12547",169900,80,32,1,1,0,0,"0","0","0","0",TRUE,"Artur Alvim/São Paulo",0,0,4
"4521",2750,2700,167,3,2,1,3,"0","0","1","0",FALSE,"Lapa/São Paulo",-23.5263398,-46.704933,2
"4772",1100,600,60,2,1,0,1,"1","0","0","0",FALSE,"Pirituba/São Paulo",-23.5024526,-46.7163058,1
"2231",10000,1500,180,4,4,3,3,"0","0","1","0",FALSE,"Bela Vista/São Paulo",-23.5657824,-46.6429069,7
"6695",680000,800,106,3,3,1,2,"1","0","1","0",TRUE,"Tatuapé/São Paulo",-23.53066,-46.576292,1
"2939",700,230,50,2,1,0,1,"0","0","0","0",FALSE,"Artur Alvim/São Paulo",-23.5498041,-46.4782996,4
"3",1000,100,48,2,2,1,1,"0","0","0","0",FALSE,"Artur Alvim/São Paulo",-23.542818,-46.485665,6
"10086",3000,500,58,2,2,1,1,"1","1","0","0",FALSE,"Anhanguera/São Paulo",-23.522756,-46.655492,5
"3229",5000,1250,157,3,4,3,5,"0","0","1","0",FALSE,"Tatuapé/São Paulo",-23.5525658,-46.5747897,7
"2262",1900,250,70,2,1,0,0,"0","0","0","0",FALSE,"Bom Retiro/São Paulo",-23.529222,-46.6349863,4
"6895",745000,710,70,2,2,1,2,"1","0","1","0",TRUE,"Campo Belo/São Paulo",-23.624786,-46.666908,1
"1108",1600,686,65,3,2,1,1,"0","0","0","0",FALSE,"Jabaquara/São Paulo",-23.649204,-46.63489,8
"8351",2000000,4370,140,3,2,1,2,"0","0","1","0",TRUE,"Consolação/São Paulo",-23.5484865,-46.661128,2
"2752",1200,732,60,2,2,0,1,"0","0","0","0",FALSE,"Santana/São Paulo",0,0,4
"8977",710000,960,72,3,2,1,1,"0","0","1","0",TRUE,"Perdizes/São Paulo",-23.535736,-46.6774852,2
"10763",1600,706,55,2,1,0,1,"0","0","1","0",FALSE,"Saúde/São Paulo",-23.6128092,-46.6193517,2
"12406",530000,560,80,3,2,1,2,"0","0","1","0",TRUE,"Vila Maria/São Paulo",0,0,2
"8063",1290000,1200,138,3,5,3,2,"1","0","1","0",TRUE,"Vila Leopoldina/São Paulo",-23.525211,-46.731094,7
"8879",760000,1150,78,2,2,1,1,"0","0","0","0",TRUE,"Moema/São Paulo",-23.5053909,-46.6227832,6
"3521",2500,530,70,2,1,0,0,"0","0","0","0",FALSE,"Ipiranga/São Paulo",-23.5912094116,-46.6051483154,4
"5489",460000,790,72,2,2,1,1,"1","0","0","0",TRUE,"Bela Vista/São Paulo",-23.567141,-46.644567,1
"10708",1900,1071,98,2,2,1,2,"0","0","1","0",FALSE,"Morumbi/São Paulo",-23.6247745,-46.7341403,2
"10269",1200,447,50,1,1,0,0,"0","0","0","0",FALSE,"Bela Vista/São Paulo",-23.5575429552,-46.6421106511,4
"10422",1800,490,52,2,1,0,1,"0","0","1","0",FALSE,"Belém/São Paulo",-23.5252904,-46.6032356,2
"3753",3000,1250,173,2,1,0,1,"0","0","0","0",FALSE,"Jardim Paulista/São Paulo",-23.567613,-46.6586001,4
"10117",1450,485,60,2,2,1,1,"1","1","0","0",FALSE,"Cachoeirinha/São Paulo",-23.468366,-46.637888,5
"12637",229900,165,46,2,1,0,1,"1","0","1","0",TRUE,"Carrão/São Paulo",-23.5659555,-46.5154051,2
"2594",1200,550,62,2,1,0,0,"0","0","0","0",FALSE,"Sé/São Paulo",-23.5478475,-46.6305075,4
"3517",2300,490,60,2,2,1,2,"0","0","1","0",FALSE,"Ipiranga/São Paulo",-23.5894583,-46.6069747,2
"3017",2700,708,96,2,2,1,2,"0","1","0","0",FALSE,"Carrão/São Paulo",-23.5517127,-46.5450538,6
"12661",320000,720,47,2,1,0,1,"0","0","0","0",TRUE,"Carrão/São Paulo",-23.5487879,-46.5293303,4
"1224",4251,929,52,1,2,1,1,"1","0","1","0",FALSE,"Moema/São Paulo",-23.607802,-46.66356,5
"11529",180000,0,49,2,2,1,1,"0","0","0","0",TRUE,"São Miguel/São Paulo",-23.495651,-46.46049,6
"13036",240000,323,60,2,2,1,1,"0","0","1","0",TRUE,"São Lucas/São Paulo",-23.6062966,-46.5260531,2
"3979",5800,2181,209,4,4,3,4,"0","0","1","0",FALSE,"Santo Amaro/São Paulo",-26.9225117,-49.0607072,7
"7747",540000,460,85,3,2,1,1,"1","0","1","0",TRUE,"Freguesia do Ó/São Paulo",-23.498451,-46.695502,2
"3300",2000,900,106,3,1,0,1,"1","0","0","0",FALSE,"Vila Prudente/São Paulo",-23.5765888,-46.586415,1
"9337",1000,600,70,2,2,1,2,"0","0","0","0",FALSE,"Jaçanã/São Paulo",-23.460059,-46.58511,6
"3223",4000,1800,117,3,2,1,3,"0","0","1","0",FALSE,"Tatuapé/São Paulo",-23.5352452,-46.575463,2
"8684",266045,0,45,2,1,0,1,"0","0","0","0",TRUE,"Jaçanã/São Paulo",-23.4777783,-46.5734555,4
"6818",219000,0,41,2,2,1,1,"0","0","1","0",TRUE,"Vila Prudente/São Paulo",-23.606192,-46.552423,2
"6021",239000,280,64,3,2,1,1,"0","0","0","0",TRUE,"Aricanduva/São Paulo",-23.587461,-46.482624,8
"3432",10000,3500,252,4,5,4,5,"0","0","0","0",FALSE,"Campo Belo/São Paulo",-23.6259342,-46.6702134,3
"6624",260000,300,52,2,2,1,1,"0","0","1","0",TRUE,"São Miguel/São Paulo",-23.505635,-46.423502,2
"6814",221000,0,56,2,2,1,1,"0","0","0","0",TRUE,"Vila Prudente/São Paulo",-23.601405,-46.548644,6
"4831",5000,1155,172,3,4,3,3,"1","0","0","0",FALSE,"Vila Leopoldina/São Paulo",-23.527221,-46.7312283,3
"7526",399900,0,77,3,2,1,2,"1","0","1","0",TRUE,"Vila Andrade/São Paulo",-23.629577,-46.743046,2
"914",700,300,42,2,2,1,1,"0","0","0","0",FALSE,"Capão Redondo/São Paulo",-23.671929,-46.76426,6
"5539",295000,350,45,1,2,1,1,"1","0","1","0",TRUE,"Brás/São Paulo",-23.55166,-46.616213,2
"6145",830000,0,98,3,3,1,2,"1","0","1","0",TRUE,"Carrão/São Paulo",-23.552012,-46.537754,2
"10630",1600,779,78,3,1,0,2,"0","1","1","0",FALSE,"Jabaquara/São Paulo",-23.6430666,-46.6349367,5
"7166",1200000,1340,96,2,2,1,1,"1","1","0","0",TRUE,"Itaim Bibi/São Paulo",-23.579226,-46.67282,1
"4100",3000,2100,138,3,4,3,3,"1","0","1","0",FALSE,"Vila Andrade/São Paulo",-23.6271024,-46.73677,7
"7099",215000,300,58,2,2,1,1,"0","0","0","0",TRUE,"Grajaú/São Paulo",-23.752794,-46.703042,6
"10105",1600,660,62,2,3,1,1,"0","0","0","0",FALSE,"Butantã/São Paulo",-23.576421,-46.746411,6
"8752",980000,1023,142,3,4,3,2,"0","0","1","0",TRUE,"Mandaqui/São Paulo",-23.4812489,-46.6448065,7
"7016",310000,411,70,2,2,1,2,"1","0","0","0",TRUE,"Cidade Ademar/São Paulo",-23.668236,-46.660584,1
"5375",1500,580,53,2,1,0,2,"0","0","0","0",FALSE,"Mooca/São Paulo",-23.561989,-46.6026546,4
"9189",3500,0,40,1,2,1,1,"0","1","1","0",FALSE,"Liberdade/São Paulo",-23.564561,-46.64109,5
"9663",7200,1900,62,1,2,1,2,"0","1","0","0",FALSE,"Iguatemi/São Paulo",-23.58383,-46.683541,6
"10305",1900,380,51,2,1,0,1,"0","0","1","0",FALSE,"Brás/São Paulo",-23.543632,-46.6248999,2
"2486",1700,430,45,2,1,0,1,"1","1","1","0",FALSE,"Liberdade/São Paulo",-23.5552938,-46.6285289,5
"3823",5000,2000,210,4,3,2,3,"0","0","1","0",FALSE,"Moema/São Paulo",-23.6015183,-46.6691563,7
"1164",1295,500,69,3,2,1,1,"0","0","0","0",FALSE,"Jardim Ângela/São Paulo",-23.604294,-46.518325,8
"4774",3000,1400,131,3,2,1,2,"0","0","0","0",FALSE,"Pirituba/São Paulo",0,0,8
"10399",1500,515,65,2,1,0,1,"0","0","0","0",FALSE,"Medeiros/São Paulo",0,0,4
"1837",2600,600,67,3,2,1,1,"0","0","1","0",FALSE,"Jaraguá/São Paulo",-23.524415,-46.647314,2
"5032",800000,1200,120,4,2,1,2,"0","0","1","0",TRUE,"Mooca/São Paulo",-23.5650862,-46.5910806,2
"198",1600,370,70,2,2,1,1,"1","0","1","0",FALSE,"Ermelino Matarazzo/São Paulo",-23.486951,-46.469086,5
"5399",6850,1490,98,2,2,1,2,"0","1","1","0",FALSE,"Brooklin/São Paulo",-23.5001201,-46.6276055,5
"12588",661000,400,95,3,2,1,2,"0","0","1","0",TRUE,"Belém/São Paulo",-23.5274694,-46.605183,2
"10919",2000,280,60,2,1,0,0,"0","0","0","0",FALSE,"Perdizes/São Paulo",-23.5404024,-46.6856844,4
"1389",1900,860,55,2,2,1,1,"0","0","1","0",FALSE,"Saúde/São Paulo",-23.62262,-46.639203,2
"3725",20000,0,469,4,5,4,4,"0","0","1","0",FALSE,"Jardim Paulista/São Paulo",-23.5643983,-46.6620572,7
"5005",1600000,0,112,3,3,1,2,"1","0","1","0",TRUE,"Vila Olimpia/São Paulo",-23.604197,-46.678332,2
"2561",6000,4200,257,4,2,1,3,"0","0","1","0",FALSE,"Santa Cecília/São Paulo",-23.5428985,-46.6641513,2
"12117",240000,358,50,1,1,0,0,"0","0","0","0",TRUE,"Liberdade/São Paulo",-23.5528718,-46.628172,4
"9229",1500,500,55,2,2,1,1,"0","0","0","0",FALSE,"Pari/São Paulo",-23.519652,-46.601712,6
"11648",529000,521,69,2,2,1,1,"1","0","1","0",TRUE,"Ipiranga/São Paulo",-23.598672,-46.604628,1
"6391",171000,295,50,2,2,1,1,"0","0","0","0",TRUE,"José Bonifácio/São Paulo",-23.55405,-46.428543,6
"12146",350000,560,57,1,1,0,0,"1","0","0","0",TRUE,"República/São Paulo",-23.5426902,-46.6465377,1
"6901",1230000,1450,117,3,4,1,2,"1","0","1","0",TRUE,"Campo Belo/São Paulo",-23.62248,-46.673114,7
"12413",320000,0,56,2,2,0,1,"0","0","1","0",TRUE,"Vila Maria/São Paulo",0,0,2
"17",1500,337,55,2,2,1,1,"1","0","0","0",FALSE,"Belém/São Paulo",-23.546104,-46.594579,1
"9527",2000,673,75,3,2,1,2,"0","0","0","0",FALSE,"Medeiros/São Paulo",-23.599557,-46.729802,8
"754",1600,706,67,2,2,1,1,"1","0","0","0",FALSE,"Cambuci/São Paulo",-23.578324,-46.623802,1
"8104",664900,560,69,2,2,1,1,"0","0","1","0",TRUE,"Barra Funda/São Paulo",-23.5187663,-46.6689825,2
"7080",700000,0,68,2,2,1,1,"1","0","0","0",TRUE,"Cursino/São Paulo",-23.608682,-46.613416,1
"12009",420000,707,80,2,1,0,1,"1","0","0","0",TRUE,"Bom Retiro/São Paulo",-23.5245475,-46.6399594,1
"5855",430000,420,67,2,2,1,1,"1","0","0","0",TRUE,"Tucuruvi/São Paulo",-23.484377,-46.614876,1
"9567",1350,0,89,2,2,1,1,"0","0","0","0",FALSE,"Água Rasa/São Paulo",-23.550399,-46.580311,6
"5667",3800000,0,320,3,4,3,4,"1","0","1","0",TRUE,"Santa Cecília/São Paulo",-23.540912,-46.663029,7
"10462",1500,426,46,2,1,0,1,"0","0","0","0",FALSE,"Tatuapé/São Paulo",-23.5346682,-46.570557,4
"4661",2300,870,70,2,1,0,1,"0","0","0","0",FALSE,"Perdizes/São Paulo",-23.5410183,-46.6774729,4
"88",2300,374,65,2,2,1,1,"1","0","1","0",FALSE,"Carrão/São Paulo",-23.534905,-46.565266,5
"12123",970000,700,95,3,2,1,2,"0","0","1","0",TRUE,"Pari/São Paulo",-23.5289017,-46.6023121,2
"8821",1600000,1200,150,3,2,1,2,"0","0","1","0",TRUE,"Jardim Paulista/São Paulo",0,0,2
"12467",490000,600,73,2,1,0,3,"0","0","1","0",TRUE,"Água Rasa/São Paulo",-23.5720873,-46.5711868,2
"11122",1400,220,60,2,2,1,1,"0","0","0","0",FALSE,"Mooca/São Paulo",-23.554439,-46.592151,6
"12767",260000,300,44,2,1,0,1,"1","0","0","0",TRUE,"Ermelino Matarazzo/São Paulo",-23.483649,-46.4907096,1
"2395",3000,340,35,1,2,1,1,"0","1","1","0",FALSE,"Consolação/São Paulo",-23.5510254,-46.6553085,5
"6534",184900,200,45,2,2,1,1,"1","0","0","0",TRUE,"Sapopemba/São Paulo",-23.600613,-46.512084,1
"5189",3355,645,86,3,2,1,1,"0","0","1","0",FALSE,"Mooca/São Paulo",-23.557555,-46.606281,2
"3447",5300,1345,163,3,4,3,3,"0","0","1","0",FALSE,"Campo Grande/São Paulo",-23.6793291,-46.6919327,7
"6922",1350000,1000,118,3,5,3,2,"1","0","1","0",TRUE,"Campo Belo/São Paulo",-23.614993,-46.673618,7
"7963",600000,1000,85,2,2,1,1,"0","0","1","0",TRUE,"Pirituba/São Paulo",-23.49869,-46.752885,2
"6705",270000,430,54,2,2,1,1,"1","0","1","0",TRUE,"Vila Curuçá/São Paulo",-23.503354,-46.426069,2
"6255",150000,100,56,2,2,1,1,"0","0","0","0",TRUE,"Guaianazes/São Paulo",-23.563787,-46.405495,6
"9834",30000,2800,380,4,7,4,5,"0","0","0","0",FALSE,"Campo Belo/São Paulo",-23.623313,-46.675174,3
"7169",1049000,1095,98,2,2,1,1,"0","0","0","0",TRUE,"Itaim Bibi/São Paulo",-23.583127,-46.675887,6
"10447",1010,594,65,2,2,0,1,"0","0","0","0",FALSE,"Penha/São Paulo",0,0,4
"2255",2200,220,90,2,1,0,0,"0","0","0","0",FALSE,"Bom Retiro/São Paulo",-23.5256297,-46.6395405,4
"2327",2200,590,72,3,2,1,1,"0","0","1","0",FALSE,"Brás/São Paulo",-23.5453953,-46.6167926,2
"1121",1200,275,44,1,2,1,1,"1","0","0","0",FALSE,"Jabaquara/São Paulo",-23.655713,-46.636329,1
"9438",1800,900,95,3,2,1,2,"1","0","0","0",FALSE,"Tucuruvi/São Paulo",-23.475741,-46.612531,1
"12240",210000,50,50,2,1,0,1,"0","0","0","0",TRUE,"Jaçanã/São Paulo",-23.4654282,-46.5693564,4
"10428",1000,460,50,2,1,0,1,"0","0","1","0",FALSE,"Cangaíba/São Paulo",-23.5004511,-46.523592,2
