"","Price","Condo","Size","Rooms","Toilets","Suites","Parking","Elevator","Furnished","Swimming.Pool","New","Sale","District","Latitude","Longitude","Cluster_Silhouette"
"8664",160000,100,35,1,1,0,1,"0","0","0","0",TRUE,"Jaçanã/São Paulo",-23.4627341,-46.5759593,4
"10800",3000,2100,220,4,2,1,2,"0","0","1","0",FALSE,"Vila Mariana/São Paulo",-23.5859298,-46.6385758,2
"5967",370000,470,60,2,2,1,1,"1","1","0","0",TRUE,"Água Rasa/São Paulo",-23.554393,-46.581161,1
"8361",750000,900,90,2,2,1,1,"1","1","0","0",TRUE,"Consolação/São Paulo",-23.553155,-46.6612664,1
"4378",1300,350,50,2,1,0,1,"0","0","1","0",FALSE,"Cachoeirinha/São Paulo",-23.4660953,-46.6583797,2
"6414",144900,0,37,2,1,0,1,"1","0","0","1",TRUE,"Lajeado/São Paulo",-23.563996,-46.426201,1
"3834",7500,3000,190,4,4,3,3,"0","0","1","0",FALSE,"Moema/São Paulo",-23.6037763,-46.6698106,7
"10995",5500,1100,130,3,2,1,2,"0","1","1","0",FALSE,"Vila Leopoldina/São Paulo",-23.5194269,-46.7259161,5
"13021",355000,330,56,2,1,0,1,"0","0","0","0",TRUE,"Sapopemba/São Paulo",-23.5855595,-46.5335228,4
"8267",500000,530,100,3,1,0,0,"1","0","0","0",TRUE,"Bom Retiro/São Paulo",-23.5296305,-46.639703,1
"5884",340000,350,63,2,2,1,1,"1","1","1","0",TRUE,"Vila Guilherme/São Paulo",-23.510097,-46.601122,5
"11625",315000,528,60,2,2,1,1,"1","0","0","0",TRUE,"Cidade Ademar/São Paulo",-23.666114,-46.660183,1
"9797",3500,2100,119,3,2,1,2,"1","0","1","0",FALSE,"Vila Matilde/São Paulo",-23.539095,-46.524103,5
"10830",2200,587,75,3,1,0,2,"0","0","0","0",FALSE,"Vila Sônia/São Paulo",-23.5904961,-46.7284709,4
"9600",1020,180,56,2,2,1,1,"0","0","0","0",FALSE,"Artur Alvim/São Paulo",-23.54984,-46.484137,6
"1918",1250,450,47,2,2,1,1,"1","0","0","0",FALSE,"Limão/São Paulo",-23.498369,-46.680087,1
"12880",180000,100,56,2,1,0,1,"0","0","0","0",TRUE,"José Bonifácio/São Paulo",-23.5423743,-46.4387463,4
"11084",1280000,1340,140,4,2,1,2,"0","0","1","0",TRUE,"Brooklin/São Paulo",-23.6115504,-46.6785318,2
"3094",1000,360,47,2,1,0,1,"0","0","1","0",FALSE,"Itaquera/São Paulo",-23.5559855,-46.4474511,2
"4043",3300,914,101,3,2,1,2,"0","0","1","0",FALSE,"Saúde/São Paulo",-23.6124039,-46.6317115,2
"11912",330000,350,52,2,2,1,1,"0","0","1","0",TRUE,"São Domingos/São Paulo",-23.493914,-46.742145,2
"6623",196000,330,55,2,2,1,1,"0","1","1","0",TRUE,"São Miguel/São Paulo",-23.491972,-46.441915,2
"7750",388000,592,112,2,2,1,1,"1","0","1","0",TRUE,"Freguesia do Ó/São Paulo",-23.484405,-46.70072,1
"9155",1500,320,43,2,2,1,1,"0","0","0","0",FALSE,"Brás/São Paulo",-23.547392,-46.607256,6
"12209",697000,900,90,3,2,1,1,"0","0","0","0",TRUE,"Casa Verde/São Paulo",-23.5030712,-46.6439368,8
"909",1300,500,95,3,2,1,1,"0","0","0","0",FALSE,"Capão Redondo/São Paulo",-23.664773,-46.767313,8
"3387",2850,552,35,1,2,1,1,"0","1","1","0",FALSE,"Campo Belo/São Paulo",0,0,5
"9134",1300,460,50,2,2,1,1,"1","0","0","0",FALSE,"Brás/São Paulo",-23.548541,-46.623619,1
"5263",7700,2500,230,4,5,2,4,"0","0","1","0",FALSE,"Brooklin/São Paulo",-23.616689,-46.677731,7
"7485",199000,0,41,2,2,1,1,"1","0","1","0",TRUE,"Saúde/São Paulo",-23.654221,-46.614521,2
"13620",425000,521,64,3,1,0,1,"0","0","1","0",TRUE,"Jabaquara/São Paulo",-23.6501619,-46.6497269,2
"13491",300000,510,59,2,1,0,1,"0","0","0","0",TRUE,"Cidade Ademar/São Paulo",0,0,4
"9190",1650,648,52,2,2,1,1,"1","0","0","0",FALSE,"Liberdade/São Paulo",-23.55819,-46.63196,1
"11613",245000,0,48,2,2,1,1,"0","1","0","0",TRUE,"Campo Limpo/São Paulo",-23.634795,-46.75499,6
"13073",480000,430,75,3,2,1,2,"0","0","1","0",TRUE,"São Lucas/São Paulo",0,0,2
"7975",235000,0,47,2,2,1,1,"0","0","0","0",TRUE,"Pirituba/São Paulo",-23.500831,-46.723348,6
"6343",233000,298,55,2,2,1,1,"1","0","1","0",TRUE,"Itaquera/São Paulo",-23.529568,-46.456204,2
"12375",370000,650,50,2,1,0,2,"0","0","1","0",TRUE,"Vila Guilherme/São Paulo",-23.5001433,-46.6055515,2
"2455",2000,380,55,1,1,0,1,"1","0","0","0",FALSE,"Liberdade/São Paulo",-23.567803,-46.6287794,1
"2790",2500,770,43,1,1,0,1,"0","0","0","0",FALSE,"Tucuruvi/São Paulo",-23.4949629,-46.610603,4
"8731",890000,0,120,3,4,3,3,"0","0","1","0",TRUE,"Mandaqui/São Paulo",-23.4787006378,-46.6331520081,7
"8331",745000,865,99,3,2,0,1,"0","0","0","0",TRUE,"Consolação/São Paulo",0,0,8
"3748",3000,1100,100,3,2,1,1,"0","0","0","0",FALSE,"Jardim Paulista/São Paulo",0,0,8
"2856",1200,0,40,1,1,0,0,"0","0","0","0",FALSE,"Vila Guilherme/São Paulo",-23.5128992,-46.6086883,4
"8052",216641,0,43,2,1,0,1,"1","0","0","1",TRUE,"São Domingos/São Paulo",-23.50151,-46.721571,1
"1659",950,450,48,2,2,1,1,"0","0","0","0",FALSE,"Brasilândia/São Paulo",-23.471708,-46.687679,6
"7968",215000,0,43,2,2,1,1,"1","0","0","0",TRUE,"Pirituba/São Paulo",-23.503059,-46.720534,1
"10243",1700,200,35,1,2,1,1,"1","0","1","0",FALSE,"Vila Leopoldina/São Paulo",-23.531099,-46.738935,5
"10339",8000,2600,393,3,2,1,1,"0","0","0","0",FALSE,"República/São Paulo",-23.5462519,-46.6432651,8
"6921",1150780,0,100,3,3,2,2,"1","0","1","0",TRUE,"Campo Belo/São Paulo",-23.621212,-46.671213,2
"11594",330000,0,48,2,2,1,1,"0","0","0","0",TRUE,"Cambuci/São Paulo",-23.561787,-46.628506,6
"4419",2800,440,65,2,2,1,1,"0","1","1","0",FALSE,"Freguesia do Ó/São Paulo",-23.4988253,-46.7052165,5
"11123",1700,330,64,3,2,1,1,"0","0","1","0",FALSE,"Mooca/São Paulo",-23.555421,-46.62039,2
"3990",2400,1100,112,3,2,1,2,"0","0","1","0",FALSE,"Santo Amaro/São Paulo",-23.64774,-46.7066334,2
"10206",3500,1300,131,3,4,1,2,"0","0","0","0",FALSE,"Pirituba/São Paulo",-23.49937,-46.752818,8
